,titel,link
0,Abgesagter A4-Ausbau? Machtwort des Kanzlers gefordert,/nachrichten/sachsen/bautzen/bautzen-hoyerswerda-kamenz/aerger-absage-ausbau-autobahn-vier-dresden-goerlitz-strassen-verkehr-100.html
1,Abgesagter A4-Ausbau: Machtwort des Kanzlers gefordert,/nachrichten/sachsen/bautzen/bautzen-hoyerswerda-kamenz/aerger-absage-ausbau-autobahn-vier-dresden-goerlitz-strassen-verkehr-100.html
2,Landesschülerrat fordert kostenlosen Nahverkehr für Hochschultag in Sachsen,/nachrichten/sachsen/tag-offene-hochschultuer-bildung-universitaet-studieren-100.html
3,Koala zu dick: Tierische Inventur im Zoo Dresden,/nachrichten/sachsen/dresden/dresden-radebeul/inventur-tiere-zoo-messen-wiegen-zaehlen-100.html
4,Universitätsschule Dresden: Wie läuft es an der Schule ohne Noten?,/nachrichten/sachsen/dresden/schule-bildung-universitaetsschule-gemeinschaftsschule-modell-universitaet-100.html
5,Gewerkschaft plädiert für Gendern auch an Schulen,/nachrichten/sachsen/gendern-schule-bildung-102.html
6,Sachsen: Gewerkschaft plädiert für Gendern auch an Schulen,/nachrichten/sachsen/gendern-schule-bildung-102.html
7,Navigation Karte Sachsen,/nachrichten/sachsen/navi-karte-sachsen-100.html
8,Eigentümer wollen gegen Grundsteuergesetz klagen,/nachrichten/deutschland/politik/grundsteuer-gesetz-klage-eigentuemer-104.html
9,Grundsteuer: Eigentümer wollen wegen Neuberechnung klagen,/nachrichten/deutschland/politik/grundsteuer-gesetz-klage-eigentuemer-104.html
10,Was die Kunstsammlungen Chemnitz für 2023 planen,/kultur/ausstellungen/chemnitz-kunstsammlungen-neues-programm-zwanzigdreiundzwanzig-102.html
11,Chemnitz: Kunstsammlungen präsentieren Ausstellungshighlights 2023,/kultur/ausstellungen/chemnitz-kunstsammlungen-neues-programm-zwanzigdreiundzwanzig-102.html
12,Polizei befreit in Leipzig entführten Mann,/nachrichten/sachsen/leipzig/polizei-fahndung-entfuehrung-befreiung-100.html
13,Warum Mitteldeutschland an Verteilungsformel für Flüchtlinge festhält,/nachrichten/deutschland/politik/koenigsteiner-schluessel-fluechtlinge-mitteldeutschland-100.html
14,Königsteiner Schlüssel: Warum Mitteldeutschland an Verteilungsformel für Flüchtlinge festhält,/nachrichten/deutschland/politik/koenigsteiner-schluessel-fluechtlinge-mitteldeutschland-100.html
15,Verteidigungsministerin Lambrecht in Bundeswehrkaserne in Marienberg erwartet,/nachrichten/sachsen/chemnitz/brand-erbisdorf-marienberg/lambrecht-kaserne-besuch-marder-100.html
16,Verteidigungsministerin Lambrecht besucht Kaserne in Marienberg,/nachrichten/sachsen/chemnitz/brand-erbisdorf-marienberg/lambrecht-kaserne-besuch-marder-100.html
17,Fahrzeuge angezündet: Polizei Leipzig ermittelt wegen Brandstiftung,/nachrichten/sachsen/leipzig/leipzig-leipzig-land/braende-transporter-autovermietung-verdacht-brandstiftung-100.html
18,Polizei Leipzig ermittelt wegen Brandstiftung bei Autovermietung,/nachrichten/sachsen/leipzig/leipzig-leipzig-land/braende-transporter-autovermietung-verdacht-brandstiftung-100.html
19,Neu: Infektionsgeschehen nach Altersgruppen und Regionen,/nachrichten/sachsen/corona-ueberblick-inzidenz-sachsen-altersgruppen-106.html
20,"Regeln, News und Hintergründe",/nachrichten/sachsen/corona-regeln-zahlen-lockerungen-100.html
21,"Corona in Sachsen: Regeln, News und Hintergründe",/nachrichten/sachsen/corona-regeln-zahlen-lockerungen-100.html
22,Kritik an Ex-Oberbürgermeister von Wurzen Jörg Röglin,/sachsenradio/audio-wurzen-ex-obm-roeglin-kritik-100.html
23,Dynamo Fans und das Gewaltproblem - wie weiter?,/sachsenradio/audio-dynamo-dresden-podiumsdiskussion-gewalt-ausschreitungen-100.html
24,In Dresden trauten sich 2022 sachsenweit die meisten Paare,/nachrichten/sachsen/dresden/standesamt-bilanz-hochzeiten-geburten-vornamen-100.html
25,Dresden war im Jahr 2022 sachsenweit Spitzenreiter bei Hochzeiten,/nachrichten/sachsen/dresden/standesamt-bilanz-hochzeiten-geburten-vornamen-100.html
26,"Lob und Kritik auf Vorschlag zur Entkriminalisierung von ""Containern""",/nachrichten/deutschland/politik/containern-legalisieren-sachsen-anhalt-thueringen-100.html
27,Sächsisches Know-how für weltweiten Denkmalschutz,/geschichte/mitteldeutschland/tradition/klinkersteine-ziegelsteine-backsteine-ziegel-huber-graupzig-sachsen100.html
28,Bewohner aus Mühlrose zur bevorstehenden Umsiedlung wegen Braunkohleabbau,/video/mdr-videos/a/video-687514.html
29,Ehrenamtliche Beratung zum Renteneintritt,/video/mdr-videos/a/video-687464.html
30,Jan Kunz mit Karikaturen-Preis ausgezeichnet,/video/mdr-videos/a/video-687462.html
31,Kretschmer für bundesweite Regeln gegen knappe Medikamente,/nachrichten/sachsen/dresden/dresden-radebeul/apotheke-fiebersaft-medikamente-kind-krank-100.html
32,Arzneimittel: Kretschmer für bundesweite Regeln gegen knappe Medikamente,/nachrichten/sachsen/dresden/dresden-radebeul/apotheke-fiebersaft-medikamente-kind-krank-100.html
33,Solaranlage: Mieten oder kaufen?,/video/mdr-videos/a/video-687434.html
34,Altar im Dom St. Marien Freiberg wird verhüllt,/nachrichten/sachsen/chemnitz/freiberg/aschermittwoch-kunst-verhuellung-altar-dom-kulturhauptstadt-100.html
35,Das SachsenUpdate am Mittwoch,/nachrichten/sachsen/video-entfuehrung-autobahn-koala100.html
36,Das SachsenUpdate am 10. Januar,/nachrichten/sachsen/video-entfuehrung-autobahn-koala100.html
37,Blick nach vorn: Das Görlitzer Theater nach der Löschwasserkatastrophe,/sachsenradio/audio-goerlitzer-theater-plaene-ideen-100.html
38,Ehemaliger Dirigent der Semperoper Siegfried Kurz gestorben,/kultur/musik/dirigent-siegfried-kurz-semperoper-dresden-gestorben-102.html
39,Dresden: Ehemaliger Dirigent der Semperoper Siegfried Kurz gestorben,/kultur/musik/dirigent-siegfried-kurz-semperoper-dresden-gestorben-102.html
40,Durchsuchungen in Dresden und Umgebung wegen kinderpornografischer Inhalte,/nachrichten/sachsen/dresden/dresden-radebeul/durchsuchungen-polizei-kinderpornografie-100.html
41,Gut 12.000 Erstanträge auf Asyl in Sachsen,/nachrichten/sachsen/asyl-migration-statistik-antraege-100.html
42,Chemnitz will fünf Kitas bis 2027 schließen,/nachrichten/sachsen/chemnitz/chemnitz-stollberg/kindergarten-kita-schliessung-geburtenrueckgang-100.html
43,Geburtenrückgang: Chemnitz will fünf Kitas schließen,/nachrichten/sachsen/chemnitz/chemnitz-stollberg/kindergarten-kita-schliessung-geburtenrueckgang-100.html
44,Mehr Fahrgäste in Bus und Bahn in Dresden dank 9-Euro-Ticket,/nachrichten/sachsen/dresden/dresden-radebeul/dvb-neun-euro-ticket-fahrgastzahlen-nahverkehr-oepnv-100.html
45,Dresden: Dank 9-Euro-Ticket wieder mehr Fahrgäste in Bus und Bahn,/nachrichten/sachsen/dresden/dresden-radebeul/dvb-neun-euro-ticket-fahrgastzahlen-nahverkehr-oepnv-100.html
46,Berliner Original aus Sachsen: Heinrich Zille und sein sozialkritisches Werk,/kultur/heinrich-zille-grafik-radeburg-geburtstag-100.html
47,Heinrich Zille aus Radeburg: Grafiker und Maler des Alltags,/kultur/heinrich-zille-grafik-radeburg-geburtstag-100.html
48,"""Dresden"" geht aufgehübscht auf Fluss-Kreuzfahrt",/video/mdr-videos/f/video-687340.html
